Title,Description,Url,Started On,Finished On
TrailerCentral Craigslist Autoposter,"For Trailer Central's Marketing product I wrote a new Craigslist Autoposter using a Google Chrome Extension.  This extension allows users with TrailerCentral Marketing to choose an inventory item from their dashboard and the extension will go out to craigslist, log into an account, start a new listing, and fill out all the details from their inventory item to sell it on Craigslist.  The script is designed to minimize manual data entry work while replicating a real user's input.  Many updates have gradually been made over the years to fix issues, improve performance, and add additional functionality such as renews, syncing data, and eventually the shift to almost entirely paid posting only.",,Jun 2016,Jan 2026
TrailerTrader (2016 Version),"Migrated early draft of TrailerTrader from outsourced demo to trailertrader.com, cleaned up trailer trader markup and design, connected TrailerTrader to TrailerCentral inventory database.",,Apr 2016,Aug 2016
TrailerCentral Horse Trailer World Autoposter,Wrote an extension for Google Chrome to post dealer's inventory from TrailerCentral to existing dealer accounts on HorseTrailerWorld. The script is designed to sync dealer data by logging into a dealer's existing paid Horse Trailer World account and manually enter dealer data from TrailerCentral.  The purpose of this extension is to minimize lengthy data entry so dealers can share their inventory across as many platforms as possible.,,Apr 2016,Jan 2026
TrailerCentral KSL Feed,Wrote an early version of the TrailerCentral KSL feed. This feed was handled mostly using PHP and CURL to read web page data like a more traditional scraper.,,Jun 2016,Dec 2016
TrailerCentral Camera Mobile App,"I never worked on a mobile app before and finally got my chance with the TrailerCentral Camera app on Android. The app's main purpose was to allow users to upload images via their mobile phone camera, likely while on the lot looking at inventory to sell online via TrailerCentral.  I played around with Android Studio to figure out how the app worked and make some improvements. With the Camera App users log into their trailer central account, received a list of inventory, downloaded all existing images, and could upload new images.  The app already existed when I started working on it, but I made some updates and maintained it, though I still had difficulty figuring out how to make major improvements as Android Studio/Java is not my best skill.  The app was somewhat maintained for many years until being replaced by the new TrailerCentral & CRM Dashboard app instead which I was not directly involved in.",,Aug 2016,Jun 2023
TrailerCentral Craigslist Scheduler (Chrome Extension),"The TrailerCentral Craigslist Scheduler was built off of the original Craigslist Autoposter. With the Scheduler, the idea was to allow dealers to pick times to schedule inventory to post to Craigslist so they didn't have to  constantly run the extension on their own PC and they didn't have to worry about constantly going back and triggering a new set of posts to go out once the old ones finished.  To handle the schedular we installed a Javascript plugin called Full Calendar and used this to allow dealers to schedule posts. The main infrastructure remained the same as the standard poster, but now we added a scheduled date to all inventory.  However, around this time Craigslist also started charging for all By Dealer posts. As such, we had to implement some changes to enable paid posting on most inventory. While our system supports dealers posting as much to craigslist as they want, we expected dealers to pay for each individual paid listing.  The scheduler was originally built in the main CL Autoposter chrome extension, but we sunset that version.",,Sep 2016,Jun 2021
TrailerCentral Facebook Marketplace Autoposter,"The Facebook Marketplace poster was designed to work the same way as the Craigslist and HTW autoposters, though closer to CL. This autoposter was created as a chrome extension and was intended to be set up using a scheduler.  This was eventually dropped in favor of other methods until Marketplace shut down the ability for dealers to post content entirely.",,Sep 2016,Jun 2017
TrailerCentral Custom Inventory Image Overlays,"Wrote a custom image overlay system for TrailerCentral Dashboard to enable adding overlays to all dealer inventory. With this system we added a variety of new options for overlays, with the primary intention being to allow these settings to be used for dealer inventory going out to Craigslist posts.  This system enabled a banner at the top and bottom of each image to add a dealer name, phone, and/or contact email (two of each). We also added support for adding a logo to any corner of the image. The database saved a copy of the old image to ensure that we could still revert back to the original image should the dealer choose to disable the overlays.",,Feb 2017,Jul 2021
TrailerCentral Dealer Websites Responsive Mode,"Researched how the dealer websites configuration worked to enable Responsive designs for Dealer Websites. I configured the functionality for Responsive websites for our website design team in Dealer Websites, starting with Mayes Trailer Sales.  As part of this we configured a new functionality called Twig Templates as well to make custom designs and overrides easier for specific dealer websites.",,Mar 2017,May 2019
Elastic Search for TrailerCentral Dealer Websites Inventory,"Worked on researching ElasticSearch implementation for Dealer Websites Inventory. Elasticsearch is used to improve loading speeds for specific types of data that requires high demand and consistent processing from the database.  For TrailerCentral's Dealer Websites, ElasticSearch was implemented to improve the loading speeds of Inventory listings and not put too much of a burden on the primary database. I didn't work too heavily on ElasticSearch but I did work on its early implementation.",,Apr 2017,Aug 2019
TrailerCentral Classifieds Websites,TrailerCentral's Classifieds are similar to TrailerTrader where they handle specific types of content. This was also used as one version of TrailerTrader temporarily before it was shifted over to a new format in the future.,,Mar 2017,Aug 2019
Factory Vantage,"I worked on a number of additional features for Factory Vantage over the years, but mostly minor additions. I created the Series functionality to support including Series for RV's, a classification level existing between that of Model and Manufacturer/Brand.  Most additions to Factory Vantage were primarily done via the database. However, I also supported it by updating the UI and forms in the admin interface. Factory Fantasy is also what controls autocompletion data for manufacturers / models on TrailerCentral Dashboard.",,Feb 2017,Mar 2021
Huffman Trailers Website for TrailerCentral,"I created the original Huffman Trailers website for TrailerCentral Dealer Sites. This one required some custom functionality the design team wasn't able to do at the time, so I did a new PSD to HTML/CSS website by ripping the images from the PSD preview and installing a slideshow for the home page.",,Mar 2018,Mar 2018
"The Hitchman, Inc. Website for TrailerCentral","Hitchman, Inc. was a website that was migrated from another service to TrailerCentral. I was the lead on this one, rebuilding the website structure in Foundation on TrailerCentral's Dealer Websites service.  This one also required me to create a custom Parts lookup system as well using an API and AJAX calls.",,Mar 2018,Aug 2018
TrailerCentral CRM (Zend),"The original TrailerCentral CRM was build in Zend Framework. I started working on it and it became a major project of mine. The original CRM was a separate interface from the main dashboard directly linked to a dealer's main account if they opted in to the separate product.  Over time more features were added, including sending basic emails, sending texts, and also email and later text campaigns. While some basic functionality existed I wrote many of these new features myself. I also implemented an auto assign script to send email notifications to dealers so when new leads come in, dealers and sales people receive notifications.",,Apr 2018,Jun 2025
TrailerCentral CRM Email & Text Marketing,"The TrailerCentral CRM has a campaign and blast feature, complete with an Email Builder built onto Mosaico. I did not configure the original but I have maintained it over the years. The email building enables users to create custom email templates to send out in email campaigns and blasts for marketing to leads.  The campaign and blast functionality enables users to send campaigns out over a set period of time, or send out a single email to a bunch of leads who join within X amount of days. In addition, a text version of the campaign and blast functionality was also implemented, with text-only templates.  The system is built on Amazon Web Services' Simple Email Service. SES, along with Simple Notification Service (SNS) and Simple Queue Service (SQS) enable us to track if the email will bounce, a complaint (spam) was reported, or if the email was delivered successfully and clicked or opened.  Very late in the lifespan of the feature we also added in support for checking if an email will bounce before ever attempting to send the email to begin with using NeverBounce.",,May 2018,Jan 2026
TrailerCentral Facebook Marketplace Autoposter,"The TrailerCentral Facebook Marketplace autoposter was attempted several times but this one was a lot more complex to implement. I built the initial one very similarly to the HTW and Chrome Extensions. However, I kept struggling with triggering certain inputs such as uploading images.  We ended up having to hire a temp to come in and resolve this issue, but the problem we were unable to overcome is logging in and out of dealers, which required constant verifications. Because of this problem, we had to switch to a different system entirely.",,Jan 2019,Jun 2019
TrailerCentral TruckPaper Autoposter Integration,"TruckPaper was another chrome extension autoposter designed to allow dealers to send inventory to another website for marketing purposes. The integration was configured and set to automatically run, using xpaths to log in and fill out form fields. While it was configured, it eventually stopped working and wasn't deemed viable to keep active.",,Jul 2019,Aug 2019
TrailerCentral LotVantage Facebook Feed,"Because we couldn't get our own Facebook Marketplace autoposter working we configured a CSV-based feed instead to send data over to LotVantage, who then used Facebook's Marketplace feeds to import inventory onto Facebook Marketplace. This worked well for a while until Facebook shutdown the ability for partners to send feed data to Marketplace.",,Jun 2019,Oct 2021
Universal Spritesheet Character Generator,Supported the Universal Spritesheet Character Generator by creating new sprite assets. Delivered improvements to fix bugs on the interface and rewrite the folder structure to build the layout of assets from the folder structure and json file metadata.,,Mar 2024,
Lex Talionis Engine,Contributed to Lex Talionis Engine in Python by implementing new folder systems in QT. Engineered custom platform data and new custom autotiles. Authored new features to MANA system by adding custom mana components and rewriting the health bar data to support mana bars.,,Apr 2025,
